#{"t_start": 1674305454.5797377, "env_id": "gripper-env-v0"}
r,l,t
-40000.0,200,2483.534549
-33590.889612,200,2494.400285
-40000.0,200,2513.75132
-40000.0,200,2523.900075
-1794.732748,61,2528.618048
-40000.0,200,2540.267184
-40000.0,200,2553.016903
-40000.0,200,2564.300448
-21890.419203,200,2576.13337
-40000.0,200,2586.166958
-40000.0,200,2595.050088
-40000.0,200,2605.316724
-40000.0,200,2613.883328
-40000.0,200,2625.450132
-40000.0,200,2636.817013
-40000.0,200,2647.583529
-12391.006164,114,2652.78409
-40000.0,200,2662.116264
-40000.0,200,2671.349906
-40000.0,200,2682.383285
-40000.0,200,2692.133774
-40000.0,200,2700.333176
-40000.0,200,2710.867054
-40000.0,200,2721.783289
-33899.011653,200,2732.749961
-40000.0,200,2743.300177
-40000.0,200,2754.034436
-25699.682072,200,2770.06877
-40000.0,200,2780.267314
-38699.891536,200,2789.916723
-40000.0,200,2802.05022
-22796.900658,200,2821.900905
-26594.524702,200,2835.73476
-20594.255009,200,2852.001248
-1281.855101,114,2858.934378
-39699.97115,200,2874.535815
-40000.0,200,2882.350007
-40000.0,200,2892.716737
-40000.0,200,2904.534585
-39899.998824,200,2916.900159
-20599.992833,200,2928.050758
2009.007681,45,2931.233571
-25793.841763,200,2946.018638
-40000.0,200,2962.217976
-40000.0,200,2970.133338
-40000.0,200,3059.283454
9809.010771,3,3060.49937
-21390.096332,200,3071.617293
-40000.0,200,3081.766915
-22490.877338,200,3095.100753
-40000.0,200,3104.266917
-40000.0,200,3114.49991
-40000.0,200,3127.38361
-39199.293503,200,3138.950301
-40000.0,200,3153.101204
-40000.0,200,3163.533306
-40000.0,200,3180.334791
-40000.0,200,3196.317607
-40000.0,200,3206.516805
-40000.0,200,3216.200182
-27700.034872,200,3228.751346
-36297.776615,200,3242.134129
-40000.0,200,3264.700541
-40000.0,200,3276.233592
-40000.0,200,3284.550018
-35799.968763,200,3293.382981
-40000.0,200,3304.033491
-28708.915463,200,3314.91772
-40000.0,200,3322.966635
-40000.0,200,3331.08327
-685.715766,108,3338.400949
-40000.0,200,3347.150179
-40000.0,200,3356.783462
-40000.0,200,3370.934813
-40000.0,200,3381.683633
-20400.05773,200,3395.134445
-35799.684348,200,3403.817963
-40000.0,200,3413.950104
-40000.0,200,3424.066848
-40000.0,200,3435.333795
-40000.0,200,3446.384204
-40000.0,200,3454.183395
-19986.832696,200,3468.00101
-39791.412529,200,3479.650076
-39896.426314,200,3490.716735
2810.599246,38,3493.700934
-40000.0,200,3501.917529
-40000.0,200,3513.000281
-40000.0,200,3522.833278
-40000.0,200,3531.082922
-40000.0,200,3550.818622
1117.375431,82,3555.866874
-40000.0,200,3567.934078
-40000.0,200,3576.350299
-40000.0,200,3584.300056
1009.130078,91,3590.916894
-19986.888718,200,3604.66765
-35290.767781,200,3616.566906
-40000.0,200,3625.333755
-40000.0,200,3637.769225
-40000.0,200,3649.683599
-20199.448256,200,3663.134214
-40000.0,200,3673.749939
-40000.0,200,3683.500654
-40000.0,200,3699.067571
-40000.0,200,3709.516872
-40000.0,200,3719.516655
3009.362064,71,3723.666694
-40000.0,200,3734.400326
-40000.0,200,3744.58363
-40000.0,200,3756.633826
-40000.0,200,3768.634024
-30496.615268,200,3785.784374
-40000.0,200,3797.750182
-29081.561196,200,3810.301562
-35491.359647,200,3821.334173
-40000.0,200,3830.65014
-39899.990629,200,3839.250871
-20200.004337,200,3851.0839
8809.015469,8,3852.567128
-40000.0,200,3863.233487
-40000.0,200,3874.083433
-40000.0,200,3883.683186
-40000.0,200,3897.150739
-40000.0,200,3907.066388
-32398.670882,200,3920.517268
-40000.0,200,3930.233129
-40000.0,200,3941.650867
-40000.0,200,3950.117451
-40000.0,200,3960.58325
-40000.0,200,3970.766807
-40000.0,200,3985.100871
-40000.0,200,3995.0501
-32481.737959,200,4010.584956
-40000.0,200,4020.56688
-40000.0,200,4028.999926
-40000.0,200,4040.952124
-40000.0,200,4049.94979
-40000.0,200,4061.467287
-40000.0,200,4071.633471
-40000.0,200,4082.649976
-40000.0,200,4090.51652
-40000.0,200,4102.166632
-40000.0,200,4113.349939
-40000.0,200,4126.900017
-40000.0,200,4140.500823
-40000.0,200,4151.551202
-40000.0,200,4161.749902
-20489.02994,200,4175.467836
-40000.0,200,4185.734208
-40000.0,200,4195.866634
-40000.0,200,4206.984418
9809.012071,3,4208.233026
-40000.0,200,4218.766726
-40000.0,200,4229.766886
-39899.643271,200,4238.616342
-40000.0,200,4249.267548
3209.006212,68,4254.116822
-30598.271926,200,4268.56776
-40000.0,200,4278.099754
-32085.136941,200,4289.066365
-27599.855018,200,4302.267751
9500.168114,6,4303.700234
9900.025702,2,4304.933186
-24900.125937,200,4316.350457
-40000.0,200,4327.217071
-40000.0,200,4338.334198
-40000.0,200,4351.067894
-40000.0,200,4365.03373
-40000.0,200,4376.266659
-40000.0,200,4384.183104
-40000.0,200,4395.083389
-40000.0,200,4412.551377
-40000.0,200,4426.000282
-40000.0,200,4435.516689
-40000.0,200,4446.30039
-40000.0,200,4456.316448
-40000.0,200,4464.800024
-40000.0,200,4473.63334
-27600.89163,200,4483.9
-40000.0,200,4497.767018
-40000.0,200,4507.083456
-21099.984954,200,4530.119773
-19999.714716,200,4546.918262
-40000.0,200,4555.833533
-40000.0,200,4565.63379
-40000.0,200,4576.216873
-40000.0,200,4586.166692
-25800.052485,200,4598.250059
-40000.0,200,4610.116893
-40000.0,200,4619.666373
-39790.9817,200,4634.251591
-40000.0,200,4645.683332
-25209.051692,200,4664.486045
-40000.0,200,4672.650004
-39899.626355,200,4693.234839
-40000.0,200,4702.533244
-40000.0,200,4711.799675
-40000.0,200,4724.833193
-19999.756721,200,4736.066755
-40000.0,200,4746.883842
-40000.0,200,4761.018018
-40000.0,200,4770.716444
-40000.0,200,4779.649971
-20599.099298,200,4793.167402
-40000.0,200,4802.533296
-19990.86541,200,4815.717
-40000.0,200,4825.833236
-40000.0,200,4838.768319
-40000.0,200,4852.317753
-40000.0,200,4863.967521
-40000.0,200,4876.734183
-40000.0,200,4887.066623
-36309.062297,200,4899.484251
-40000.0,200,4908.916721
813.422391,69,4914.634206
-23500.060676,200,4928.450861
-40000.0,200,4938.267666
-40000.0,200,4950.967836
-40000.0,200,4964.28562
9809.034889,3,4965.483165
-22399.917516,200,4978.71762
10000.0,1,4979.849902
-40000.0,200,4990.500429
-40000.0,200,5006.635161
-40000.0,200,5015.733443
-40000.0,200,5025.550462
-22499.752323,200,5038.817455
9609.006168,4,5040.099393
-40000.0,200,5051.800594
-34899.591322,200,5062.750269
-40000.0,200,5073.049663
-19995.016061,200,5085.433724
-40000.0,200,5098.666831
-40000.0,200,5113.184305
-40000.0,200,5124.567011
-40000.0,200,5137.484689
-40000.0,200,5145.949776
9809.008353,3,5147.283181
-40000.0,200,5156.36624
-40000.0,200,5167.666914
-40000.0,200,5178.183088
-40000.0,200,5191.101682
9809.010165,3,5192.36596
-40000.0,200,5204.66758
-40000.0,200,5219.516962
-40000.0,200,5239.284473
9809.027514,3,5240.565993
-40000.0,200,5248.932997
-40000.0,200,5258.08327
-40000.0,200,5270.834179
-40000.0,200,5279.666324
-33690.827627,200,5291.699781
-40000.0,200,5303.550046
-40000.0,200,5313.449693
-40000.0,200,5321.684181
-30400.885923,200,5334.850403
-40000.0,200,5342.64985
-40000.0,200,5350.533093
-40000.0,200,5359.966635
-40000.0,200,5368.58331
-40000.0,200,5378.816214
-40000.0,200,5391.433196
-40000.0,200,5399.900082
-40000.0,200,5409.049881
-40000.0,200,5419.800197
-40000.0,200,5440.101039
-40000.0,200,5451.816814
-36494.764622,200,5462.283365
-40000.0,200,5470.883005
-40000.0,200,5480.93334
-40000.0,200,5491.200361
-40000.0,200,5503.333443
-40000.0,200,5511.333035
-40000.0,200,5519.966501
-40000.0,200,5532.467808
-40000.0,200,5542.666492
-40000.0,200,5553.633449
-40000.0,200,5563.949823
9209.009489,6,5565.283025
-40000.0,200,5573.083251
-40000.0,200,5583.399828
-40000.0,200,5591.599714
9809.008388,3,5592.916005
9509.036653,5,5594.232832
-40000.0,200,5603.51647
-40000.0,200,5614.001135
-40000.0,200,5623.033241
-40000.0,200,5633.900089
-40000.0,200,5645.167103
-40000.0,200,5654.700337
-40000.0,200,5663.300029
7409.006204,15,5664.933065
-39698.712258,200,5675.433339
-20192.084134,200,5691.001463
-32386.414796,200,5702.700359
-40000.0,200,5710.81658
-40000.0,200,5720.64998
-40000.0,200,5729.650153
-40000.0,200,5741.033771
-40000.0,200,5750.766582
-40000.0,200,5761.283384
-21400.505635,200,5773.90068
-40000.0,200,5782.350181
-32300.000599,200,5794.117846
-28790.600523,200,5807.500574
-40000.0,200,5817.566966
9809.007421,3,5818.816001
-40000.0,200,5828.933406
-40000.0,200,5844.801017
-40000.0,200,5855.516579
-40000.0,200,5865.083509
9809.041619,3,5866.333503
9609.066175,4,5867.616953
-40000.0,200,5875.566507
-22898.252856,200,5889.00104
-40000.0,200,5896.783267
